Date,Team,Opponent,Team Score,Opponent Score,Team Result
2/2/13,CS Northridge,UC Riverside,69,53,Win
2/2/13,UC Riverside,CS Northridge,53,69,Loss
2/2/13,New Mexico St,UT San Antonio,75,62,Win
2/2/13,UT San Antonio,New Mexico St,62,75,Loss
2/2/13,Utah,Colorado,58,55,Win
2/2/13,Colorado,Utah,55,58,Loss
2/2/13,UTEP,Tulane,62,50,Win
2/2/13,Tulane,UTEP,50,62,Loss
2/2/13,VA Commonwealth,Fordham,81,65,Win
2/2/13,Fordham,VA Commonwealth,65,81,Loss
2/2/13,Alabama,Vanderbilt,58,54,Win
2/2/13,Vanderbilt,Alabama,54,58,Loss
2/2/13,W Michigan,Buffalo,71,60,Win
2/2/13,Buffalo,W Michigan,60,71,Loss
2/2/13,Quinnipiac,Wagner,74,69,Win
2/2/13,Wagner,Quinnipiac,69,74,Loss
2/2/13,Washington,Arizona St,96,92,Win
2/2/13,Arizona St,Washington,92,96,Loss
2/2/13,Arizona,Washington St,79,65,Win
2/2/13,Washington St,Arizona,65,79,Loss
2/2/13,William & Mary,Hofstra,72,59,Win
2/2/13,Hofstra,William & Mary,59,72,Loss
2/2/13,Winthrop,Liberty,66,56,Win
2/2/13,Liberty,Winthrop,56,66,Loss
2/2/13,Davidson,Wofford,68,57,Win
2/2/13,Wofford,Davidson,57,68,Loss
2/1/13,Brown,Dartmouth,62,50,Win
2/1/13,Dartmouth,Brown,50,62,Loss
2/1/13,Detroit,Youngstown St,88,77,Win
2/1/13,Youngstown St,Detroit,77,88,Loss
2/1/13,Fairfield,Rider,69,59,Win
2/1/13,Rider,Fairfield,59,69,Loss
2/1/13,Harvard,Yale,67,64,Win
2/1/13,Yale,Harvard,64,67,Loss
2/1/13,Mercer,Kennesaw,66,42,Win
2/1/13,Kennesaw,Mercer,42,66,Loss
2/1/13,Penn,Columbia,62,58,Win
2/1/13,Columbia,Penn,58,62,Loss
2/1/13,Princeton,Cornell,76,59,Win
2/1/13,Cornell,Princeton,59,76,Loss
2/1/13,Siena,Manhattan,66,63,Win
2/1/13,Manhattan,Siena,63,66,Loss
2/1/13,Valparaiso,WI Milwaukee,71,40,Win
2/1/13,WI Milwaukee,Valparaiso,40,71,Loss
1/31/13,Alabama,Arkansas,59,56,Win
1/31/13,Arkansas,Alabama,56,59,Loss
1/31/13,Arkansas St,South Alabama,74,62,Win
1/31/13,South Alabama,Arkansas St,62,74,Loss
1/31/13,Belmont,Morehead St,93,74,Win
1/31/13,Morehead St,Belmont,74,93,Loss
